"시료명","K1600 K16L5001CCR Platforming Process Unit Feed"
"수집 일시","2018-08-22 오전 5:53:10"

,"mass %",n-Paraffins,i-Paraffins,Olefins,Naphtenes,Aromatics,Oxygenates
   27,"2,4-dimethylhexane",39.253,733.475,0.619,68596.67,0.590,"i-Paraffins",8
   28,"1c,2t,4-trimethylcyclopentane",40.343,739.308,0.708,87059.69,0.736,"Naphtenes",8
   29,"3,3-dimethylhexane",40.569,740.501,0.143,16045.40,0.138,"i-Paraffins",8
   30,"1t,2c,3-trimethylcyclopentane",41.719,746.453,0.811,100648.85,0.851,"Naphtenes",8
   31,"2,3,4-trimethylpentane",42.253,749.159,0.085,9649.36,0.083,"i-Paraffins",8
   32,"Toluene/2,3,3-TMC5",43.136,753.565,3.509,521825.12,4.140,"Aromatics",7
   33,"2,3-dimethylhexane",44.419,759.808,0.454,51170.72,0.440,"i-Paraffins",8
   34,"2-methyl-3-ethylpentane",44.693,761.114,0.462,52038.39,0.448,"i-Paraffins",8
   35,"2-methylheptane",45.686,765.795,3.649,402743.96,3.466,"i-Paraffins",8
   36,"4-methylheptane",46.009,767.297,1.043,116263.14,1.000,"i-Paraffins",8
   37,"3-methyl-3-ethylpentane",46.426,769.217,0.241,27591.16,0.233,"i-Paraffins",8
   38,"3-methylheptane",47.356,773.441,2.223,248068.32,2.135,"i-Paraffins",8
   39,"1c,2t,3-trimethylcyclopentane",47.613,774.592,0.345,42774.27,0.361,"Naphtenes",8
   40,"1t,4-dimethylcyclohexane",47.846,775.633,2.159,265051.62,2.240,"Naphtenes",8
   41,"1,1-dimethylcyclohexane",48.269,777.509,0.845,106222.24,0.898,"Naphtenes",8
   42,"2,2,5-trimethylhexane",49.599,783.297,0.374,41920.72,0.360,"i-Paraffins",9
   43,"3c-ethylmethylcyclopentane",49.913,784.638,0.030,3664.65,0.031,"Naphtenes",8
   44,"3t-ethylmethylcyclopentane",50.382,786.634,0.339,41840.22,0.354,"Naphtenes",8
   45,"2t-ethylmethylcyclopentane",50.912,788.863,0.298,36878.18,0.312,"Naphtenes",8
